DATE,ARRIVAL
2016-01-01,2233.808004
2016-01-02,2234.808004
2016-01-03,2235.808004
2016-01-04,2236.808004
2016-01-05,2237.808004
2016-01-06,2544.341221
2016-01-07,2554.527489
2016-01-08,2480.998113
2016-01-09,1923.197767
2016-01-10,2186.762354
2016-01-11,2475.203173
2016-01-12,2436.258679
2016-01-13,2595.385061
2016-01-14,2577.478474
2016-01-15,2520.977752
2016-01-16,1737.369104
2016-01-17,2154.317279
2016-01-18,2583.627933
2016-01-19,2507.087051
2016-01-20,2739.785474
2016-01-21,2736.184462
2016-01-22,2671.499016
2016-01-23,1999.918321
2016-01-24,2340.879791
2016-01-25,2700.29999
2016-01-26,2642.206651
2016-01-27,2838.172922
2016-01-28,2827.121494
2016-01-29,2766.04818
2016-01-30,2038.432169
2016-01-31,2416.451443
2016-02-01,2809.837344
2016-02-02,2741.866934
2016-02-03,2955.233725
2016-02-04,2051.010283
2016-02-05,2290.278304
2016-02-06,1722.627165
2016-02-07,2013.257756
2016-02-08,2290.641855
2016-02-09,2200.039285
2016-02-10,2190.276765
2016-02-11,2074.992471
2016-02-12,2342.890565
2016-02-13,1460.635952
2016-02-14,1884.063041
2016-02-15,2299.176634
2016-02-16,2173.082447
2016-02-17,2189.108796
2016-02-18,2153.297959
2016-02-19,2411.979884
2016-02-20,1689.805302
2016-02-21,2050.752896
2016-02-22,2400.270787
2016-02-23,2293.863438
2016-02-24,2298.6735
2016-02-25,2224.569365
2016-02-26,2488.516261
2016-02-27,1687.314549
2016-02-28,2079.246894
2016-02-29,2461.007894
2016-03-01,2344.309699
2016-03-02,2353.921886
2016-03-03,2297.840392
2016-03-04,2558.034305
2016-03-05,-366.6805402
2016-03-06,-275.3820987
2016-03-07,-161.724404
2016-03-08,-175.5987435
2016-03-09,-250.7223926
2016-03-10,-184.4298236
2016-03-11,-183.0383441
2016-03-12,-625.2935165
2016-03-13,-522.930198
2016-03-14,-393.9160682
2016-03-15,-409.1592182
2016-03-16,-499.2627517
2016-03-17,-422.079602
2016-03-18,-419.9036479
2016-03-19,-870.244746
2016-03-20,-766.9246451
2016-03-21,-636.3888513
2016-03-22,-652.4492805
2016-03-23,-745.27782
2016-03-24,-667.2700033
2016-03-25,-665.6910781
2016-03-26,-1117.879314
2016-03-27,-1015.179962
2016-03-28,-885.2094181
2016-03-29,-902.1801349
2016-03-30,-996.2036172
2016-03-31,-918.9203725
2016-04-01,-918.2819454
2016-04-02,-1371.602121
2016-04-03,-1269.883114
2016-04-04,211.2410406
2016-04-05,244.2786227
2016-04-06,260.3921491
2016-04-07,261.456019
2016-04-08,255.5001058
2016-04-09,245.840673
2016-04-10,234.1935322
2016-04-11,271.8054225
2016-04-12,284.1898178
2016-04-13,286.750864
2016-04-14,280.8228412
2016-04-15,270.8414896
2016-04-16,258.7592411
2016-04-17,245.6644556
2016-04-18,305.296324
2016-04-19,328.813159
2016-04-20,338.2756931
2016-04-21,335.3741845
2016-04-22,326.3692508
2016-04-23,313.9495429
2016-04-24,299.575191
2016-04-25,346.1559291
2016-04-26,361.5384991
2016-04-27,364.6093912
2016-04-28,356.9300655
2016-04-29,343.9164959
2016-04-30,327.9356271
2016-05-01,310.2985993
2016-05-02,359.1861696
2016-05-03,374.3895748
2016-05-04,1650.84395
2016-05-05,1624.630006
2016-05-06,1481.938838
2016-05-07,1153.126303
2016-05-08,1287.881587
2016-05-09,1452.220862
2016-05-10,1525.373932
2016-05-11,1342.309874
2016-05-12,1311.446323
2016-05-13,1170.393433
2016-05-14,850.7167393
