MANDINAME,DATE,ARRIVAL,MIN,MAX,PRICE
AZADPUR,01/12/2021,170.0,,,
AZADPUR,02/12/2021,232.4,,,
AZADPUR,03/12/2021,173.7,,,
AZADPUR,04/12/2021,513.5,1200.0,4800.0,3215.0
AZADPUR,06/12/2021,268.4,1200.0,4800.0,3262.0
AZADPUR,07/12/2021,399.0,1200.0,4800.0,3262.0
SHAHDARA,01/12/2021,150.95,2400.0,4000.0,3500.0
SHAHDARA,02/12/2021,136.32,2400.0,4000.0,3300.0
SHAHDARA,03/12/2021,156.92,2000.0,3800.0,3300.0
SHAHDARA,04/12/2021,150.3,2200.0,4000.0,3000.0
SHAHDARA,05/12/2021,124.07,2000.0,3800.0,2800.0
SHAHDARA,06/12/2021,167.59,2500.0,3800.0,3400.0
