MANDINAME,DATE,ARRIVAL,MIN,MAX,PRICE
AZADPUR,01/12/2021,1073.1,,,
AZADPUR,02/12/2021,903.8,,,
AZADPUR,03/12/2021,919.3,,,
AZADPUR,04/12/2021,963.7,,,
AZADPUR,06/12/2021,213.5,,,
AZADPUR,07/12/2021,1162.5,,,
SHAHDARA,01/12/2021,178.09,1600.0,2000.0,1700.0
SHAHDARA,,,1200.0,1600.0,1400.0
SHAHDARA,02/12/2021,208.79,1600.0,2000.0,1800.0
SHAHDARA,03/12/2021,277.76,2000.0,2200.0,2100.0
SHAHDARA,04/12/2021,230.11,1400.0,1600.0,1500.0
SHAHDARA,05/12/2021,170.1,1400.0,1800.0,1600.0
SHAHDARA,06/12/2021,85.8,2000.0,2400.0,2200.0
