DATE,AVG,STD
2010-01-01,2105.5555555555557,520.1198817176909
2010-01-02,2102.777777776543,522.4068822463979
2010-01-03,2102.777777776543,522.4068822463979
2010-01-04,2105.5555555555557,520.1198817176909
2010-01-05,2111.1111111111113,516.278229132842
2010-01-06,2111.1111111111113,516.278229132842
2010-01-07,2111.1111111111113,516.278229132842
2010-01-08,2111.1111111111113,516.278229132842
2010-01-09,2111.1111111111113,516.278229132842
2010-01-10,2111.1111111111113,516.278229132842
2010-01-11,2111.1111111111113,516.278229132842
2010-01-12,2111.1111111111113,516.278229132842
2010-01-13,2111.1111111111113,516.278229132842
2010-01-14,2111.1111111111113,516.278229132842
2010-01-15,2111.1111111111113,516.278229132842
2010-01-16,2111.1111111111113,516.278229132842
2010-01-17,2111.1111111111113,516.278229132842
2010-01-18,2111.1111111111113,516.278229132842
2010-01-19,2111.1111111111113,516.278229132842
2010-01-20,2111.1111111111113,516.278229132842
2010-01-21,2111.1111111111113,516.278229132842
2010-01-22,2111.1111111111113,516.278229132842
2010-01-23,2111.1111111111113,516.278229132842
2010-01-24,2111.1111111111113,516.278229132842
2010-01-25,2111.1111111111113,516.278229132842
2010-01-26,2111.1111111111113,516.278229132842
2010-01-27,2111.1111111111113,516.278229132842
2010-01-28,2111.1111111111113,516.278229132842
2010-01-29,2111.1111111111113,516.278229132842
2010-01-30,2111.1111111111113,516.278229132842
2010-01-31,2111.1111111111113,516.278229132842
2010-02-01,2111.1111111111113,516.278229132842
2010-02-02,2111.1111111111113,516.278229132842
2010-02-03,2111.1111111111113,516.278229132842
2010-02-04,2111.1111111111113,516.278229132842
2010-02-05,2111.1111111111113,516.278229132842
2010-02-06,2111.1111111111113,516.278229132842
2010-02-07,2111.1111111111113,516.278229132842
2010-02-08,2111.1111111111113,516.278229132842
2010-02-09,2111.1111111111113,516.278229132842
2010-02-10,2111.1111111111113,516.278229132842
2010-02-11,2111.1111111111113,516.278229132842
2010-02-12,2111.1111111111113,516.278229132842
2010-02-13,2111.1111111111113,516.278229132842
2010-02-14,2111.1111111111113,516.278229132842
2010-02-15,2111.1111111111113,516.278229132842
2010-02-16,2111.1111111111113,516.278229132842
2010-02-17,2111.1111111111113,516.278229132842
2010-02-18,2111.1111111111113,516.278229132842
2010-02-19,2111.1111111111113,516.278229132842
2010-02-20,2111.1111111111113,516.278229132842
2010-02-21,2111.1111111111113,516.278229132842
2010-02-22,2111.1111111111113,516.278229132842
2010-02-23,2111.1111111111113,516.278229132842
2010-02-24,2111.1111111111113,516.278229132842
2010-02-25,2111.1111111111113,516.278229132842
2010-02-26,2111.1111111111113,516.278229132842
2010-02-27,2111.1111111111113,516.278229132842
2010-02-28,2111.1111111111113,516.278229132842
2010-03-01,2111.1111111111113,516.278229132842
2010-03-02,2111.1111111111113,516.278229132842
2010-03-03,2113.879586150144,513.6506565473898
2010-03-04,2111.086279436937,515.2063930093001
2010-03-05,2111.064525213138,515.2111102076351
2010-03-06,2111.036546637313,515.2171999905778
2010-03-07,2111.0023446749224,515.2246793360399
2010-03-08,2110.961920321684,515.2335690328724
2010-03-09,2116.3363130564107,511.417235306928
2010-03-10,2116.031313721281,511.63710656478526
2010-03-11,2110.0644070618273,515.8667337612379
2010-03-12,2109.564797097052,516.2407853554305
2010-03-13,2108.9956560153255,516.6759527944448
