DATE,PRICE
01/01/2016,1300
02/01/2016,1401
03/01/2016,1326
04/01/2016,1251
05/01/2016,1251
06/01/2016,1251
07/01/2016,1200
08/01/2016,1251
09/01/2016,1175.5
10/01/2016,1100
11/01/2016,1100
12/01/2016,1050
13/01/2016,1100
14/01/2016,1150
15/01/2016,1100
16/01/2016,1100
17/01/2016,1100
18/01/2016,1100
19/01/2016,1100
20/01/2016,1100
21/01/2016,1100
22/01/2016,1150
23/01/2016,1151.044546
24/01/2016,1151.193484
25/01/2016,1150
26/01/2016,1140.257783
27/01/2016,1125
28/01/2016,1050
29/01/2016,1100
30/01/2016,1050
31/01/2016,1070.5
01/02/2016,1091
02/02/2016,950
03/02/2016,1000
04/02/2016,700
05/02/2016,850
06/02/2016,850
07/02/2016,840.7956591
08/02/2016,822.3608813
09/02/2016,800
10/02/2016,700
11/02/2016,733
12/02/2016,760
13/02/2016,759.0571139
14/02/2016,755.6333657
15/02/2016,750
16/02/2016,730
17/02/2016,748
18/02/2016,751
19/02/2016,828
20/02/2016,905
21/02/2016,806
22/02/2016,707
23/02/2016,831
24/02/2016,851
25/02/2016,850
26/02/2016,850
27/02/2016,850
28/02/2016,850
29/02/2016,850
01/03/2016,851
02/03/2016,741
03/03/2016,800
04/03/2016,825
05/03/2016,725
06/03/2016,745.2159588
07/03/2016,780.0827749
08/03/2016,800
09/03/2016,800
10/03/2016,800
11/03/2016,801
12/03/2016,770.7510531
13/03/2016,731.4661519
14/03/2016,700
15/03/2016,675
16/03/2016,675
17/03/2016,701
18/03/2016,751
19/03/2016,701
20/03/2016,775.5
21/03/2016,850
22/03/2016,850
23/03/2016,849.271137
24/03/2016,847.4446303
25/03/2016,844.5919867
26/03/2016,840.8002534
27/03/2016,836.1764814
28/03/2016,830.8538225
29/03/2016,825
30/03/2016,818.829308
31/03/2016,812.6199809
01/04/2016,806.7399634
02/04/2016,801.6862371
03/04/2016,798.1468221
04/04/2016,797.1023292
05/04/2016,800
06/04/2016,850
07/04/2016,850.8142648
08/04/2016,851
09/04/2016,825.7096485
10/04/2016,774.1621563
11/04/2016,750
12/04/2016,775
13/04/2016,775
14/04/2016,775
15/04/2016,775
16/04/2016,775
17/04/2016,767.5
18/04/2016,760
19/04/2016,785.5
20/04/2016,811
21/04/2016,800
22/04/2016,801
23/04/2016,787.8223007
24/04/2016,763.2485221
25/04/2016,750
26/04/2016,750
27/04/2016,825
28/04/2016,725
29/04/2016,725
30/04/2016,725
01/05/2016,737.5
02/05/2016,750
03/05/2016,750
04/05/2016,750
05/05/2016,750
06/05/2016,742.5
07/05/2016,735
08/05/2016,742.5
09/05/2016,750
10/05/2016,750
11/05/2016,750
12/05/2016,725
13/05/2016,750
14/05/2016,738.726907
15/05/2016,711.273093
16/05/2016,700
17/05/2016,725
18/05/2016,750
19/05/2016,750
20/05/2016,750
21/05/2016,750
22/05/2016,750
23/05/2016,750
24/05/2016,850
25/05/2016,840
26/05/2016,840
27/05/2016,852
28/05/2016,845.8252584
29/05/2016,831.3640795
30/05/2016,825
31/05/2016,850
01/06/2016,850
02/06/2016,825
03/06/2016,825
04/06/2016,825
05/06/2016,825
06/06/2016,825
07/06/2016,825
08/06/2016,900
09/06/2016,930
10/06/2016,900
11/06/2016,871.7594448
12/06/2016,844.2795895
13/06/2016,825
14/06/2016,860
15/06/2016,825
16/06/2016,775
17/06/2016,850
18/06/2016,868.4227065
19/06/2016,883.9302636
20/06/2016,895.2060395
21/06/2016,900
22/06/2016,900
23/06/2016,890
24/06/2016,850
25/06/2016,826.5817889
26/06/2016,808.094823
27/06/2016,800
28/06/2016,850
29/06/2016,825
30/06/2016,800
01/07/2016,825
02/07/2016,850
03/07/2016,838.4479983
04/07/2016,811.8034833
05/07/2016,800
06/07/2016,812.5
07/07/2016,825
08/07/2016,825
09/07/2016,825.1694131
10/07/2016,825.5697383
11/07/2016,826.1983893
12/07/2016,827.0521267
13/07/2016,828.1268376
14/07/2016,829.4172195
15/07/2016,830.9163174
16/07/2016,832.614825
17/07/2016,834.5
18/07/2016,836.5539165
19/07/2016,838.7505309
20/07/2016,841.0505003
21/07/2016,843.3914506
22/07/2016,845.6682348
23/07/2016,847.688682
24/07/2016,849.060079
25/07/2016,848.8352331
26/07/2016,844
27/07/2016,821
28/07/2016,825
29/07/2016,850
30/07/2016,825
31/07/2016,809.321891
01/08/2016,800
02/08/2016,799.5452786
03/08/2016,800
04/08/2016,801
05/08/2016,850
06/08/2016,850
07/08/2016,850
08/08/2016,850
09/08/2016,781
10/08/2016,725
11/08/2016,775
12/08/2016,700
13/08/2016,702.9471276
14/08/2016,707.5
15/08/2016,712.1095788
16/08/2016,715
17/08/2016,697.1919477
18/08/2016,673.8731096
19/08/2016,650
20/08/2016,625
21/08/2016,623.9817685
22/08/2016,625
23/08/2016,630
24/08/2016,625
